update,kernel,num_steps,num_events,num_assignments,avg_group_return,positive_credit_frac,credit_mass_on_causal_steps,policy_loss,entropy
52,dependency,257,268,1302,-0.9125,0.30739299610894943,0.8691867580976291,-0.26739220522364265,2.160769644277829
53,dependency,255,269,1296,-1.7425,0.2549019607843137,0.8694246666293424,-0.22434679300441387,2.272111633113769
54,dependency,280,291,1460,-0.15500000000000003,0.37857142857142856,0.8994100216114346,-0.3730855475905772,2.1088955173085817
55,dependency,262,276,1300,-0.2862499999999999,0.37404580152671757,0.8549503694090334,-0.45136322119646594,2.136084909952574
56,dependency,231,241,1045,0.32875,0.39826839826839827,0.95857256014273,-0.5205700126637476,2.030637658098779
57,dependency,236,255,1182,0.7137500000000001,0.4322033898305085,0.916290155984393,-0.49028281434763915,2.057654681117992
58,dependency,226,240,1070,0.3625,0.415929203539823,0.906537747423637,-0.4475417669443521,1.98532631113613
59,dependency,262,271,1321,-0.6975,0.29389312977099236,0.930557906944662,-0.3849816538638279,2.1368840582539756
60,dependency,252,268,1246,0.42124999999999996,0.39285714285714285,0.9323147905361004,-0.41148503942334486,2.109180867659226
61,dependency,257,274,1256,0.2087500000000001,0.3852140077821012,0.8736652152385207,-0.32872636219245266,2.029387374734264
62,dependency,258,270,1358,-0.5512499999999999,0.3643410852713178,0.9047660309187334,-0.4552227493466359,2.112132639288199
63,dependency,221,234,998,1.6,0.5384615384615384,0.9125814202857087,-0.5120097888406137,1.8552392204453128
64,dependency,256,271,1305,1.0562500000000001,0.47265625,0.9177616907603896,-0.5684702980686606,1.985288816414317
65,dependency,238,254,1156,-0.81375,0.29831932773109243,0.9018254769470232,-0.3717219739342032,2.1253080181596222
66,dependency,240,268,1253,-0.6449999999999999,0.3541666666666667,0.8798528396547299,-0.4595101728088574,2.066143493063614
67,dependency,237,254,1155,0.30500000000000005,0.4388185654008439,0.9166850426568204,-0.4543554901063005,1.9806975593689944
68,dependency,213,232,987,1.57125,0.5352112676056338,0.901085201255192,-0.5816295550062303,1.838913114820041
69,dependency,233,253,1197,0.29625000000000007,0.3776824034334764,0.9248316618646939,-0.38982017610982805,1.998594435873371
70,dependency,240,249,1152,1.0837500000000002,0.4625,0.9341509774204216,-0.5572202089124164,1.9364609627303297
71,dependency,246,254,1220,0.3125,0.4105691056910569,0.9127498198852076,-0.5066804376037255,1.9069977316395104
72,dependency,252,268,1271,-0.05125,0.38095238095238093,0.9164084086343665,-0.3382238309333278,2.111031591071968
73,dependency,267,271,1347,0.30625,0.4157303370786517,0.9255312467194038,-0.5011733727959314,2.0303463175273246
74,dependency,200,213,840,2.795,0.675,0.934519562417086,-0.556637866248697,1.668783004909979
75,dependency,220,234,995,1.00875,0.509090909090909,0.9163395784788763,-0.5301089920026241,1.928239557490782
76,dependency,234,245,1085,1.97,0.5683760683760684,0.9186739646025942,-0.48518757852178124,1.8479826764234606
77,dependency,218,232,936,0.7650000000000001,0.43577981651376146,0.9437008220172074,-0.47259092129751656,1.8255326213762353
78,dependency,218,226,1006,1.29375,0.5091743119266054,0.9450762976578919,-0.45574248356873354,1.9602246139395458
79,dependency,208,228,929,1.6487500000000002,0.5192307692307693,0.9366481035666882,-0.41482328399475704,1.811442268858271
80,dependency,243,258,1219,0.24625000000000002,0.3950617283950617,0.9191382596992641,-0.4764217470083098,1.9608027732665019
