update,kernel,num_steps,num_events,num_assignments,avg_group_return,positive_credit_frac,credit_mass_on_causal_steps,policy_loss,entropy
42,evidence,284,296,1539,-2.4325,0.14788732394366197,0.8068090855966225,-0.18812848806740592,2.366094719369115
43,evidence,273,288,1400,-2.025,0.14652014652014653,0.8373042724552606,-0.2517448828873482,2.3361034291441527
44,evidence,248,259,1213,-2.34125,0.09274193548387097,0.9619015401420855,-0.3169722984932871,2.289069641889866
45,evidence,257,266,1296,-1.425,0.20622568093385213,0.8209542433483511,-0.2674489323530013,2.2587413536821312
46,evidence,265,266,1337,-2.35875,0.10566037735849057,0.9548797718308406,-0.26795705279475796,2.3409710703964914
47,evidence,283,287,1465,-1.79625,0.1872791519434629,0.6732580135434639,-0.2689410257165711,2.317111655309404
48,evidence,288,317,1611,-1.98375,0.20833333333333334,0.6875298979117437,-0.19106206700574355,2.288461628169267
49,evidence,287,294,1488,-1.2,0.2508710801393728,0.6013296564587707,-0.18040217724889065,2.296473879455302
50,evidence,262,270,1330,-1.87,0.16793893129770993,0.6728776343622248,-0.2467465657700301,2.2166059913951988
51,evidence,270,279,1368,-1.29375,0.21481481481481482,0.7622256455899297,-0.19388134107343452,2.271091671720429
52,evidence,265,281,1412,-1.2875,0.2490566037735849,0.6312018234256125,-0.2542317137389918,2.2217562536093354
53,evidence,253,260,1256,-1.815,0.18972332015810275,0.703780673187077,-0.27522027407063415,2.2977203605597807
54,evidence,291,296,1509,-1.13875,0.2611683848797251,0.771360112027639,-0.2580973565955371,2.2560220395098516
55,evidence,259,267,1291,-0.5125,0.2857142857142857,0.7817357413649705,-0.24538319402970551,2.2439306567650688
56,evidence,284,294,1418,-1.26375,0.25,0.6940473773616436,-0.39706909295702064,2.1937072922220104
57,evidence,267,271,1354,-1.8425,0.18352059925093633,0.7633787701980796,-0.28476166306357636,2.246320646338368
58,evidence,261,270,1333,-1.17625,0.24521072796934865,0.6911644819956034,-0.26477065008531897,2.090381683918862
59,evidence,273,276,1374,-1.3387499999999999,0.2673992673992674,0.7187454306992571,-0.29072711336338297,2.283166760962027
60,evidence,253,274,1277,-0.75,0.308300395256917,0.7113569332980064,-0.31054696314234287,2.1235535349490706
61,evidence,277,294,1407,-1.315,0.26353790613718414,0.6570439312756368,-0.2958196056274412,2.133456088552073
62,evidence,245,251,1184,0.485,0.4326530612244898,0.7295731763861286,-0.2548706320435813,2.1573931246120863
63,evidence,230,246,1075,-0.009999999999999988,0.3391304347826087,0.7862832045775766,-0.3346554896402202,1.982477203810665
64,evidence,255,274,1296,0.8475000000000001,0.43529411764705883,0.7830186524006717,-0.46965156603133845,2.0579571128651657
65,evidence,244,263,1183,-1.47875,0.19262295081967212,0.8153583910463458,-0.4124325824552892,2.114375664162188
66,evidence,256,267,1316,-2.14125,0.16015625,0.7718861492792037,-0.28187859045930924,2.199901029999379
67,evidence,244,262,1245,0.15250000000000002,0.38114754098360654,0.7532913791950954,-0.4560627868555906,1.9865879320873434
68,evidence,229,237,1046,-0.057500000000000016,0.31877729257641924,0.8913263611350738,-0.43928506631064107,1.994861056722018
69,evidence,249,262,1286,-0.23625,0.3333333333333333,0.7271889976350172,-0.3349571244143477,2.0852947920181077
70,evidence,255,253,1203,-0.29624999999999996,0.3137254901960784,0.7984950890687125,-0.4812515058733134,2.0554830742032912
71,evidence,218,235,1046,1.605,0.5779816513761468,0.7560329513004536,-0.3070859113613537,1.9661732869548758
72,evidence,243,252,1159,-0.53875,0.2839506172839506,0.7421335901045962,-0.33182402997519633,2.143039530837096
73,evidence,240,255,1185,0.595,0.3875,0.8334845806918318,-0.3281446397579069,2.0437196112634073
74,evidence,231,239,1125,1.4412500000000001,0.5238095238095238,0.7737219999797343,-0.4177289733981187,1.8489335039243036
75,evidence,223,244,1081,0.4075,0.3991031390134529,0.7647461590803716,-0.3713016843963767,2.002969904363139
76,evidence,234,240,1090,1.045,0.4358974358974359,0.8356672676078338,-0.32953250309311294,1.9243138059312679
77,evidence,220,246,1034,1.03375,0.4909090909090909,0.779623239585175,-0.28040199353844925,1.9495688131665698
78,evidence,282,277,1360,-1.2974999999999999,0.2553191489361702,0.729152954463464,-0.3966637088804347,2.183785633282286
79,evidence,255,283,1305,0.2725000000000002,0.38823529411764707,0.7089505018306388,-0.4597828161042616,1.9966787018411585
80,evidence,234,252,1153,0.07000000000000016,0.3803418803418803,0.7731820801904483,-0.2968192389277031,2.117318132221942
