kernel,n,success_rate_mean,success_rate_std,avg_env_return_mean,avg_env_return_std,credit_mass_on_causal_steps_mean,credit_mass_on_causal_steps_std,positive_credit_frac_mean,positive_credit_frac_std,entropy_mean,entropy_std
recency,1,0.0,0.0,-0.2872916666666667,0.0,0.7651228312268563,0.0,0.0797872340425532,0.0,2.54566996117077,0.0
evidence,1,0.0,0.0,-0.2789583333333334,0.0,0.7115733781389846,0.0,0.09042553191489362,0.0,2.5404918611778498,0.0
