param,value,kernel,num_updates,success_rate,avg_steps,avg_env_return,credit_mass_on_causal_steps,positive_credit_frac,entropy,output_dir
seed,7,trajectory,1,0.0,8.1875,-0.22770833333333337,0.0,0.0,2.543363715226153,runs\sweep_aggregate_smoke\seed=7\trajectory
seed,7,evidence,1,0.0,8.1875,-0.2104166666666667,0.8893335042855475,0.03597122302158273,2.554905713155763,runs\sweep_aggregate_smoke\seed=7\evidence
